  0.1250E-01  0.5019E+00  0.8152E+00  0.2390E+00  0.1419E+00  0.1952E+01  0.2801E+00  0.9949E-01  0.9657E+00  4  0.10000E+01
  0.1750E-01  0.6547E+00  0.1031E+01  0.6709E-01  0.1763E+01  0.8070E+00  0.3139E+00  0.9086E-01  0.9715E+00  5  0.10000E+01
  0.2500E-01  0.9479E+00  0.1044E+01  0.3102E-01  0.1850E+01  0.4269E+00  0.3384E+00  0.9380E-01  0.9792E+00  9  0.10000E+01
  0.3500E-01  0.1201E+01  0.9994E+00  0.2089E-01  0.1396E+01  0.2894E+00  0.3402E+00  0.8684E-01  0.9878E+00 12  0.10000E+01
  0.4500E-01  0.1404E+01  0.9787E+00  0.1846E-01  0.9023E+00  0.2357E+00  0.3359E+00  0.7789E-01  0.9948E+00 14  0.10000E+01
  0.5500E-01  0.1644E+01  0.1008E+01  0.1783E-01  0.1302E+01  0.2822E+00  0.3284E+00  0.6791E-01  0.1000E+01 16  0.10000E+01
  0.7000E-01  0.1894E+01  0.1013E+01  0.1258E-01  0.1346E+01  0.2292E+00  0.3175E+00  0.5997E-01  0.1007E+01 19  0.10000E+01
  0.9000E-01  0.2078E+01  0.1024E+01  0.1309E-01  0.1455E+01  0.2830E+00  0.3052E+00  0.5658E-01  0.1012E+01 19  0.10000E+01
  0.1250E+00  0.2366E+01  0.1010E+01  0.5364E-02  0.1083E+01  0.1836E+00  0.2820E+00  0.5121E-01  0.1015E+01 21  0.10000E+01
  0.1750E+00  0.2835E+01  0.1024E+01  0.5812E-02  0.1554E+01  0.3578E+00  0.2389E+00  0.5098E-01  0.1013E+01 22  0.10000E+01
  0.2500E+00  0.3353E+01  0.1008E+01  0.4678E-02  0.1118E+01  0.4292E+00  0.1890E+00  0.3986E-01  0.1002E+01 24  0.10000E+01
  0.3500E+00  0.4118E+01  0.1005E+01  0.6614E-02 -0.2206E+00  0.7761E+00  0.1469E+00  0.3596E-01  0.9844E+00 21  0.10000E+01
  0.5500E+00  0.1335E+02  0.1181E+01  0.5937E+00  0.2289E+03  0.9827E+04  0.5491E-01  0.4523E-01  0.9486E+00  5  0.10000E+01
